"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Asda","08/03/2016 13:02","08/03/2016 21:30","8:28","","","","","",""
"Asda","10/03/2016 05:03","10/03/2016 11:02","5:59","","","","","",""
"Asda","11/03/2016 05:08","11/03/2016 12:02","6:54","","","","","",""
"Asda","12/03/2016 05:10","12/03/2016 12:50","7:40","","","","","",""
"Asda","13/03/2016 16:14","13/03/2016 20:27","4:13","","","","","",""
"Asda","14/03/2016 06:46","14/03/2016 12:05","5:19","","","","","",""
"Asda","15/03/2016 13:20","15/03/2016 21:49","8:29","","","","","",""
"Asda","17/03/2016 13:24","17/03/2016 13:24","0:00","","","","","",""
"Asda","18/03/2016 05:13","18/03/2016 12:25","7:12","","","","","",""
"Asda","19/03/2016 04:29","19/03/2016 12:37","8:08","","","","","",""
"Asda","21/03/2016 04:59","21/03/2016 10:45","5:46","","","","","",""
"Asda","22/03/2016 09:59","22/03/2016 19:56","9:57","","","","","",""
"Asda","25/03/2016 05:10","25/03/2016 12:19","7:09","","","","","",""
"Asda","26/03/2016 05:09","26/03/2016 11:28","6:19","","","","","",""
"Asda","28/03/2016 05:02","28/03/2016 10:50","5:48","","","","","",""
"Asda","29/03/2016 13:10","29/03/2016 21:25","8:15","","","","","",""
"Asda","31/03/2016 05:10","31/03/2016 13:15","8:05","","","","","",""
"Asda","01/04/2016 05:15","01/04/2016 11:20","6:05","","","","","",""
"Asda","02/04/2016 05:03","02/04/2016 13:45","8:42","","","","","",""
"Asda","04/04/2016 05:10","04/04/2016 12:24","7:14","","","","","",""
"Asda","05/04/2016 13:55","05/04/2016 21:01","7:06","","","","","",""
"Asda","07/04/2016 05:00","07/04/2016 12:48","7:48","","","","","",""
"Asda","08/04/2016 05:05","08/04/2016 12:37","7:32","","","","","",""
"Asda","09/04/2016 05:04","09/04/2016 12:30","7:26","","","","","",""
"Asda","11/04/2016 05:00","11/04/2016 12:00","7:00","","","","","",""
"Asda","19/04/2016 14:16","19/04/2016 21:52","7:36","","","","","",""
"Asda","21/04/2016 05:04","21/04/2016 13:00","7:56","","","","","",""
"Asda","22/04/2016 05:07","22/04/2016 12:18","7:11","","","","","",""
"Asda","23/04/2016 05:02","23/04/2016 11:07","6:05","","","","","",""
"Asda","24/04/2016 05:01","24/04/2016 10:35","5:34","","","","","",""
"Asda","26/04/2016 13:07","26/04/2016 21:26","8:19","","","","","",""
"Asda","28/04/2016 05:11","28/04/2016 13:27","8:16","","","","","",""
"Asda","29/04/2016 04:57","29/04/2016 12:02","7:05","","","","","",""
"Asda","30/04/2016 04:50","30/04/2016 12:44","7:54","","","","","",""
"Asda","02/05/2016 05:01","02/05/2016 12:14","7:13","","","","","",""
"Asda","03/05/2016 09:00","03/05/2016 21:15","12:15","","","","","",""
"Asda","05/05/2016 04:59","05/05/2016 15:00","10:01","","","","","",""
"Asda","06/05/2016 05:04","06/05/2016 12:20","7:16","","","","","",""
"Asda","07/05/2016 05:12","07/05/2016 12:18","7:06","","","","","",""
"Asda","09/05/2016 05:01","09/05/2016 16:31","11:30","","","","","",""
"Asda","11/05/2016 04:50","11/05/2016 12:32","7:42","","","","","",""
"Asda","12/05/2016 04:46","12/05/2016 11:37","6:51","","","","","",""
"Asda","13/05/2016 04:55","13/05/2016 12:00","7:05","","","","","",""
"Asda","14/05/2016 05:05","14/05/2016 11:57","6:52","","","","","",""
"Asda","16/05/2016 04:46","16/05/2016 12:12","7:26","","","","","",""
"Asda","17/05/2016 13:10","17/05/2016 21:15","8:05","","","","","",""
"Asda","19/05/2016 05:03","19/05/2016 12:02","6:59","","","","","",""
"Asda","20/05/2016 05:10","20/05/2016 12:04","6:54","","","","","",""
"Asda","21/05/2016 05:05","21/05/2016 12:03","6:58","","","","","",""
"Asda","02/06/2016 04:59","02/06/2016 12:02","7:03","","","","","",""
"Asda","03/06/2016 04:50","03/06/2016 12:17","7:27","","","","","",""
"Asda","04/06/2016 05:07","04/06/2016 12:08","7:01","","","","","",""
"Asda","05/06/2016 05:01","05/06/2016 10:26","5:25","","","","","",""
"Asda","06/06/2016 13:05","06/06/2016 21:40","8:35","","","","","",""
"Asda","07/06/2016 13:08","07/06/2016 22:22","9:14","","","","","",""
"Asda","09/06/2016 05:00","09/06/2016 11:13","6:13","","","","","",""
"Asda","10/06/2016 04:58","10/06/2016 12:05","7:07","","","","","",""
"Asda","11/06/2016 05:10","11/06/2016 12:04","6:54","","","","","",""
"Asda","13/06/2016 04:59","13/06/2016 12:02","7:03","","","","","",""
"Asda","14/06/2016 13:18","14/06/2016 21:41","8:23","","","","","",""
"Asda","16/06/2016 04:59","16/06/2016 12:12","7:13","","","","","",""
"Asda","17/06/2016 05:07","17/06/2016 12:13","7:06","","","","","",""
"Asda","18/06/2016 05:13","18/06/2016 13:45","8:32","","","","","",""
"Asda","20/06/2016 05:00","20/06/2016 12:06","7:06","","","","","",""
"Asda","21/06/2016 13:11","21/06/2016 21:15","8:04","","","","","",""
"Asda","23/06/2016 05:15","23/06/2016 12:21","7:06","","","","","",""
"Asda","24/06/2016 05:08","24/06/2016 12:01","6:53","","","","","",""
"Asda","25/06/2016 05:05","25/06/2016 12:23","7:18","","","","","",""
"Asda","27/06/2016 05:03","27/06/2016 12:07","7:04","","","","","",""
"Asda","28/06/2016 13:00","28/06/2016 22:00","9:00","","","","","",""
"Asda","30/06/2016 05:03","30/06/2016 12:04","7:01","","","","","",""
"Asda","01/07/2016 05:06","01/07/2016 12:04","6:58","","","","","",""
"Asda","02/07/2016 05:06","02/07/2016 12:09","7:03","","","","","",""
"Asda","04/07/2016 04:58","04/07/2016 12:03","7:05","","","","","",""
"Asda","05/07/2016 12:53","05/07/2016 21:39","8:46","","","","","",""
"Asda","07/07/2016 04:59","07/07/2016 14:12","9:13","","","","","",""
"Asda","08/07/2016 05:04","08/07/2016 12:01","6:57","","","","","",""
"Asda","09/07/2016 04:56","09/07/2016 13:29","8:33","","","","","",""
"Asda","10/07/2016 10:37","10/07/2016 21:12","9:00","","","1:35 (15:23 to 16:58)","","-1:35","0.00"
"Asda","11/07/2016 04:57","11/07/2016 12:03","7:06","","","","","",""
"Asda","12/07/2016 13:10","12/07/2016 22:22","9:12","","","","","",""
"Asda","14/07/2016 05:20","14/07/2016 13:15","7:55","","","","","",""
"Asda","15/07/2016 05:01","15/07/2016 11:07","6:06","","","","","",""
"Asda","16/07/2016 05:09","16/07/2016 12:08","6:59","","","","","",""
"Asda","18/07/2016 05:03","18/07/2016 12:03","7:00","","","","","",""
"Asda","19/07/2016 08:05","19/07/2016 17:04","8:59","","","","","",""
"Asda","21/07/2016 05:00","21/07/2016 13:00","8:00","","","","","",""
"Asda","23/07/2016 05:01","25/07/2016 12:00","54:59","","","","","",""
"Asda","25/07/2016 05:00","25/07/2016 12:00","7:00","","","","","",""
"Asda","26/07/2016 13:00","26/07/2016 21:38","8:38","","","","","",""
"Asda","28/07/2016 05:04","28/07/2016 14:25","9:21","","","","","",""
"Asda","29/07/2016 05:14","29/07/2016 12:55","7:41","","","","","",""
"Asda","30/07/2016 05:03","30/07/2016 12:17","7:14","","","","","",""
"Asda","01/08/2016 05:01","01/08/2016 12:02","7:01","","","","","",""
"Asda","02/08/2016 13:10","02/08/2016 21:20","8:10","","","","","",""
"Asda","04/08/2016 05:03","04/08/2016 14:30","9:27","","","","","",""
"Asda","05/08/2016 05:03","05/08/2016 12:00","6:57","","","","","",""
"Asda","06/08/2016 05:11","06/08/2016 12:00","6:49","","","","","",""
"Asda","08/08/2016 05:20","08/08/2016 12:13","6:53","","","","","",""
"Asda","09/08/2016 13:09","09/08/2016 21:21","8:12","","","","","",""
"Asda","11/08/2016 05:06","11/08/2016 12:48","7:42","","","","","",""
"Asda","12/08/2016 05:04","12/08/2016 12:03","6:59","","","","","",""
"Asda","13/08/2016 05:10","13/08/2016 12:23","7:13","","","","","",""
"Asda","14/08/2016 05:04","14/08/2016 10:26","5:22","","","","","",""
"Asda","15/08/2016 05:08","15/08/2016 12:20","7:12","","","","","",""
"Asda","16/08/2016 13:11","16/08/2016 20:49","7:38","","","","","",""
"Asda","18/08/2016 05:07","18/08/2016 12:00","6:53","","","","","",""
"Asda","19/08/2016 19:02","19/08/2016 21:23","2:21","","","","","",""
"Asda","20/08/2016 04:58","20/08/2016 11:53","6:55","","","","","",""
"Asda","24/08/2016 07:55","24/08/2016 11:15","3:20","","","","","",""
"Asda","06/09/2016 13:00","06/09/2016 21:48","8:48","","","","","",""
"Asda","08/09/2016 04:58","08/09/2016 13:03","8:05","","","","","",""
"Asda","10/09/2016 05:18","10/09/2016 10:54","5:36","","","","","",""
"Asda","12/09/2016 05:04","12/09/2016 12:01","6:57","","","","","",""
"Asda","13/09/2016 12:58","13/09/2016 21:05","8:07","","","","","",""
"Asda","15/09/2016 05:03","15/09/2016 12:05","7:02","","","","","",""
"Asda","16/09/2016 05:10","16/09/2016 12:07","6:57","","","","","",""
"Asda","17/09/2016 05:10","17/09/2016 11:00","5:50","","","","","",""
"Asda","19/09/2016 05:00","19/09/2016 12:04","7:04","","","","","",""
"Asda","20/09/2016 05:00","20/09/2016 12:04","7:04","","","","","",""
"Asda","22/09/2016 05:03","22/09/2016 13:06","8:03","","","","","",""
"Asda","23/09/2016 05:01","23/09/2016 12:06","7:05","","","","","",""
"Asda","24/09/2016 04:55","24/09/2016 11:49","6:54","","","","","",""
"Asda","26/09/2016 05:06","26/09/2016 12:21","7:15","","","","","",""
"Asda","27/09/2016 05:30","27/09/2016 13:45","8:15","","","","","",""
"Asda","29/09/2016 05:00","29/09/2016 12:57","7:57","","","","","",""
"Asda","30/09/2016 05:12","30/09/2016 12:44","7:32","","","","","",""
"Asda","01/10/2016 05:00","01/10/2016 12:22","7:22","","","","","",""
"Asda","02/10/2016 16:43","02/10/2016 20:08","3:25","","","","","",""
"Asda","03/10/2016 05:02","03/10/2016 12:03","7:01","","","","","",""
"Asda","04/10/2016 13:00","04/10/2016 22:42","9:42","","","","","",""
"Asda","06/10/2016 05:01","06/10/2016 12:12","7:11","","","0:00 (10:30 to 11:30)","","0:00","0.00"
"Asda","07/10/2016 05:11","07/10/2016 12:10","6:59","","","","","",""
"Asda","08/10/2016 05:05","08/10/2016 13:13","8:08","","","","","",""
"Asda","11/10/2016 12:17","11/10/2016 19:43","7:26","","","","","",""
"Asda","12/10/2016 03:55","12/10/2016 13:36","9:41","","","","","",""
"Asda","13/10/2016 04:33","13/10/2016 12:16","7:43","","","","","",""
"Asda","14/10/2016 05:02","14/10/2016 15:11","10:09","","","","","",""
"Asda","15/10/2016 05:00","15/10/2016 11:43","6:43","","","","","",""
"Asda","22/10/2016 07:47","22/10/2016 12:32","4:45","","","","","",""
"Asda","24/10/2016 04:58","24/10/2016 11:53","6:55","","","","","",""
"Asda","25/10/2016 13:11","25/10/2016 21:40","8:29","","","","","",""
"Asda","27/10/2016 04:58","27/10/2016 12:03","7:05","","","","","",""
"Asda","28/10/2016 05:11","28/10/2016 12:06","6:55","","","","","",""
"Asda","29/10/2016 05:04","29/10/2016 13:09","8:05","","","","","",""
"Asda","30/10/2016 05:03","30/10/2016 11:40","6:37","","","","","",""
"Asda","31/10/2016 05:04","31/10/2016 12:07","7:03","","","","","",""
"Asda","01/11/2016 13:07","01/11/2016 21:38","8:31","","","","","",""
"Asda","03/11/2016 05:01","03/11/2016 12:27","7:26","","","","","",""
"Asda","04/11/2016 05:10","04/11/2016 08:52","3:42","","","","","",""
"Asda","04/11/2016 09:35","04/11/2016 12:01","2:26","","","","","",""
"Asda","05/11/2016 05:11","05/11/2016 12:01","6:50","","","","","",""
"Asda","07/11/2016 05:01","07/11/2016 12:03","7:02","","","","","",""
"Asda","08/11/2016 13:07","08/11/2016 20:45","7:38","","","","","",""
"Asda","10/11/2016 05:00","10/11/2016 12:10","7:10","","","","","",""
"Asda","11/11/2016 05:10","11/11/2016 12:30","7:20","","","","","",""
"Asda","12/11/2016 05:10","12/11/2016 13:18","8:08","","","","","",""
"Asda","14/11/2016 04:59","14/11/2016 12:08","7:09","","","","","",""
"Asda","15/11/2016 13:05","15/11/2016 21:53","8:48","","","","","",""
"Asda","17/11/2016 05:02","17/11/2016 12:11","7:09","","","","","",""
"Asda","18/11/2016 05:09","18/11/2016 09:04","3:55","","","","","",""
"Asda","18/11/2016 09:43","18/11/2016 12:10","2:27","","","","","",""
"Asda","19/11/2016 05:05","19/11/2016 11:48","6:43","","","","","",""
"Asda","21/11/2016 05:03","21/11/2016 08:36","3:33","","","","","",""
"Asda","21/11/2016 09:01","21/11/2016 12:13","3:12","","","","","",""
"Asda","22/11/2016 13:07","22/11/2016 21:01","7:54","","","","","",""
"Asda","24/11/2016 05:05","24/11/2016 12:05","7:00","","","","","",""
"Asda","25/11/2016 05:15","25/11/2016 10:12","4:57","","","","","",""
"Asda","25/11/2016 10:38","25/11/2016 13:12","2:34","","","","","",""
"Asda","26/11/2016 04:58","26/11/2016 12:31","7:33","","","","","",""
"Asda","28/11/2016 05:05","28/11/2016 12:03","6:58","","","","","",""
"Asda","29/11/2016 13:06","29/11/2016 22:01","8:55","","","","","",""
"Asda","01/12/2016 05:08","01/12/2016 09:26","4:18","","","","","",""
"Asda","01/12/2016 09:58","01/12/2016 12:03","2:05","","","","","",""
"Asda","02/12/2016 05:09","02/12/2016 12:09","7:00","","","","","",""
"Asda","03/12/2016 05:04","03/12/2016 10:50","5:46","","","","","",""
"Asda","05/12/2016 05:06","05/12/2016 12:00","6:54","","","","","",""
"Asda","06/12/2016 13:08","06/12/2016 21:30","8:22","","","","","",""
"Asda","10/12/2016 05:04","10/12/2016 12:58","7:54","","","","","",""
"Asda","12/12/2016 04:58","12/12/2016 12:00","7:02","","","","","",""
"Asda","13/12/2016 13:10","13/12/2016 22:31","9:21","","","","","",""
"Asda","15/12/2016 05:01","15/12/2016 12:07","7:06","","","","","",""
"Asda","16/12/2016 05:10","16/12/2016 11:54","6:44","","","","","",""
"Asda","17/12/2016 05:06","17/12/2016 12:13","7:07","","","","","",""
"Asda","19/12/2016 13:36","19/12/2016 22:34","8:58","","","","","",""
"Asda","20/12/2016 13:00","20/12/2016 22:00","9:00","","","","","",""
"Asda","21/12/2016 08:18","21/12/2016 14:00","5:42","","","","","",""
"Asda","22/12/2016 03:58","22/12/2016 12:00","8:02","","","","","",""
"Asda","23/12/2016 04:06","23/12/2016 14:50","10:44","","","","","",""
"Asda","29/12/2016 05:05","29/12/2016 11:15","6:10","","","","","",""
"Asda","30/12/2016 04:45","30/12/2016 08:40","3:55","","","","","",""
"Asda","30/12/2016 09:26","30/12/2016 12:21","2:55","","","","","",""
"Asda","31/12/2016 05:00","31/12/2016 12:45","7:45","","","","","",""
"Asda","02/01/2017 05:09","02/01/2017 12:03","6:54","","","","","",""
"Asda","03/01/2017 05:02","03/01/2017 11:30","6:28","","","","","",""
"Asda","04/01/2017 05:02","04/01/2017 11:10","6:08","","","","","",""
"Asda","09/01/2017 05:03","09/01/2017 11:48","6:45","","","","","",""
"Asda","10/01/2017 13:15","10/01/2017 17:56","4:41","","","","","",""
"Asda","12/01/2017 04:59","12/01/2017 12:10","7:11","","","","","",""
"Asda","13/01/2017 05:08","13/01/2017 12:12","7:04","","","","","",""
"Asda","14/01/2017 05:03","14/01/2017 12:03","7:00","","","","","",""
"Asda","16/01/2017 05:04","16/01/2017 11:41","6:37","","","","","",""
"Asda","17/01/2017 13:01","17/01/2017 21:40","8:39","","","","","",""
"Asda","19/01/2017 05:00","19/01/2017 11:15","6:15","","","","","",""
"Asda","20/01/2017 05:07","20/01/2017 12:04","6:57","","","","","",""
"Asda","21/01/2017 05:11","21/01/2017 11:58","6:47","","","","","",""
"Asda","23/01/2017 05:00","23/01/2017 14:10","9:10","","","","","",""
"Asda","24/01/2017 13:01","24/01/2017 22:17","9:16","","","","","",""
"Asda","26/01/2017 05:00","26/01/2017 13:30","8:30","","","","","",""
"Asda","30/01/2017 05:07","30/01/2017 12:06","6:59","","","","","",""
"Asda","31/01/2017 13:09","31/01/2017 22:11","9:02","","","","","",""
"Asda","02/02/2017 05:06","02/02/2017 10:13","5:07","","","","","",""
"Asda","02/02/2017 18:00","02/02/2017 22:20","4:20","","","","","",""
"Asda","04/02/2017 05:11","04/02/2017 12:26","7:15","","","","","",""
"Asda","06/02/2017 05:04","06/02/2017 13:43","8:39","","","","","",""
"Asda","07/02/2017 13:15","07/02/2017 21:50","8:35","","","","","",""
"Asda","09/02/2017 05:02","09/02/2017 12:03","7:01","","","","","",""
"Asda","10/02/2017 05:03","10/02/2017 12:04","7:01","","","","","",""
"Asda","11/02/2017 05:14","11/02/2017 11:50","6:36","","","","","",""
"Asda","12/02/2017 09:09","12/02/2017 12:29","3:20","","","","","",""
"Asda","13/02/2017 05:02","13/02/2017 12:00","6:58","","","","","",""
"Asda","18/02/2017 05:03","18/02/2017 12:05","7:02","","","","","",""
"Asda","20/02/2017 05:02","20/02/2017 12:01","6:59","","","","","",""
"Asda","21/02/2017 13:02","21/02/2017 21:50","8:48","","","","","",""
"Asda","23/02/2017 05:04","23/02/2017 12:07","7:03","","","","","",""
"Asda","24/02/2017 05:09","24/02/2017 12:18","7:09","","","","","",""
"Asda","25/02/2017 05:08","25/02/2017 12:22","7:14","","","","","",""
"Asda","27/02/2017 05:01","27/02/2017 12:15","7:14","","","","","",""
"Asda","28/02/2017 13:02","28/02/2017 21:31","8:29","","","","","",""
"Asda","02/03/2017 05:00","02/03/2017 12:05","7:05","","","","","",""
"Asda","03/03/2017 05:09","03/03/2017 12:17","7:08","","","","","",""
"Asda","04/03/2017 05:16","04/03/2017 05:25","0:09","","","","","",""
"Asda","06/03/2017 05:03","06/03/2017 12:13","7:10","","","","","",""
"Asda","07/03/2017 04:05","07/03/2017 14:15","10:10","","","","","",""
"Asda","09/03/2017 05:01","09/03/2017 12:10","7:09","","","","","",""
"Asda","10/03/2017 05:04","10/03/2017 13:30","8:26","","","","","",""
